"items.a","items.b","items.g","items.u","means","F1"
2.97674,1.69468,0.29489,1,0,1
2.74706,0.58752,0.17362,1,0,1
1.61069,0.9877,0.20411,1,0,1
2.91476,1.12362,0.11243,1,0,1
2.1205,2.22819,0.24515,1,0,1
0.29544,3.80025,0.02691,1,0,1
0.50541,0.95758,0.04207,1,0,1
1.57501,2.57259,0.3311,1,0,1
1.51059,1.777,0.06851,1,0,1
2.79351,0.15609,0.14102,1,0,1
1.45373,0.03244,0.1846,1,0,1
1.94057,0.13822,0.03732,1,0,1
3.90297,2.19782,0.05798,1,0,1
1.54146,-0.03765,0.17419,1,0,1
0.54974,0.97948,0.05877,1,0,1
2.66587,0.38498,0.17627,1,0,1
0.8924,1.01697,0.29789,1,0,1
1.44775,0.19193,0.21385,1,0,1
2.50487,1.90444,0.1037,1,0,1
2.3659,2.02542,0.14126,1,0,1
2.17252,1.17266,0.15007,1,0,1
2.35776,1.39005,0.14902,1,0,1
2.29781,1.5026,0.13077,1,0,1
1.28993,1.68911,0.18495,1,0,1
3.07166,1.89127,0.25272,1,0,1
2.01969,1.18084,0.20235,1,0,1
2.88725,2.23369,0.10286,1,0,1
1.71388,1.29656,0.10169,1,0,1
2.26543,0.62256,0.1662,1,0,1
4.28182,0.84553,0.08121,1,0,1
3.78568,1.22895,0.13564,1,0,1
2.76968,0.71695,0.24269,1,0,1
2.65104,0.94064,0.21711,1,0,1
3.45952,0.01848,0.15628,1,0,1
1.92924,2.72331,0.17678,1,0,1
2.42831,1.66707,0.29842,1,0,1
1.61135,1.52847,0.12627,1,0,1
1.01623,0.29908,0.14929,1,0,1
1.19143,-0.30412,0.19428,1,0,1
2.54149,1.20769,0.21012,1,0,1
2.20036,1.93466,0.24483,1,0,1
2.66337,1.06727,0.09434,1,0,1
2.56786,2.05471,0.36085,1,0,1
2.00073,0.8684,0.16452,1,0,1
2.40418,0.72028,0.21294,1,0,1
